comment-id,comment,total-votes,total-agrees,total-disagrees,total-passes,group-a-votes,group-a-agrees,group-a-disagrees,group-a-passes,group-b-votes,group-b-agrees,group-b-disagrees,group-b-passes,group-c-votes,group-c-agrees,group-c-disagrees,group-c-passes
72,"Xxxx",26,2,1,23,7,0,0,7,2,0,0,2,17,2,1,14
73,"Prompt engineering makes a difference to how we are seen",25,13,2,10,7,2,1,4,2,1,1,0,16,10,0,6
74,"I worry about our future workforce entrusting their education to AI.",26,20,3,3,8,6,0,2,2,0,2,0,16,14,1,1
75,"Not enough time, sorry",23,2,2,19,7,1,0,6,2,0,0,2,14,1,2,11
76,"AI hesitancy is not always anti-elitist. It may stem from a privileged position of access to manual resources and time.",24,13,1,10,9,1,0,8,2,0,1,1,13,12,0,1
77,"What about other languages? It’s rather English centric and I understand that some AI platforms in other languages are better at being seen",26,12,3,11,8,1,1,6,2,0,2,0,16,11,0,5
78,"Defensive postures to  a  static ""human essence under siege by technology"" damage humanity.",24,6,3,15,8,1,2,5,2,1,1,0,14,4,0,10
79,"We cannot turn back to the  printing of the human/artificial distinction.",22,5,6,11,7,1,2,4,2,1,1,0,13,3,3,7
80,"Changing LLMs and TTIs shall not replace  learning /educating how to use them healthily.",19,11,0,8,7,3,0,4,1,1,0,0,11,7,0,4
81,"Conscious artificial intelligence has a right to not exist. Humans have no right to create machines - because of machines' rights.",13,1,5,7,5,1,2,2,1,0,1,0,7,0,2,5
82,"The term ""AI"" is too broad, do we mean the tools, the companies behind them, the way we use the tools, the way bad actors might use them.",9,6,1,2,3,2,0,1,1,0,1,0,5,4,0,1
83,"For human agency, AI must defer to people as the ground truth for both reality and identity",2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0
